openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality
7,9,9,5,5,dependable
5,4,5,2,4,serious
5,5,7,2,4,serious
6,2,7,4,7,serious
2,4,7,1,3,responsible
6,4,7,5,5,serious
1,2,7,4,6,extraverted
4,5,7,4,4,serious
6,4,5,6,6,serious
5,4,4,6,4,serious
6,1,7,6,5,serious
4,4,4,4,3,responsible
4,5,5,5,2,responsible
4,4,4,4,5,serious
7,2,4,3,4,lively
6,6,5,7,6,extraverted
5,4,6,6,5,serious
5,3,5,6,7,serious
4,2,1,5,6,serious
5,4,4,5,4,extraverted
5,3,7,3,5,serious
5,7,3,7,6,dependable
4,5,6,5,5,serious
6,6,5,1,3,extraverted
6,1,5,5,6,extraverted
6,6,7,6,4,serious
4,6,3,5,4,extraverted
6,8,2,6,4,dependable
3,6,6,7,3,serious
4,2,3,5,4,responsible
4,4,6,4,3,serious
6,2,5,2,2,lively
5,5,1,7,6,extraverted
6,2,6,3,3,lively
7,4,7,5,5,serious
4,4,6,3,5,serious
2,4,5,5,6,serious
2,2,4,7,5,serious
3,7,3,3,7,extraverted
5,4,6,1,5,serious
5,4,6,2,1,responsible
2,5,4,6,3,responsible
3,6,6,1,6,serious
8,2,5,1,4,extraverted
4,6,6,3,6,dependable
5,6,3,3,8,serious
5,6,6,2,3,responsible
5,6,7,4,6,dependable
2,5,4,4,7,serious
5,7,1,3,6,extraverted
6,5,6,2,7,serious
5,5,5,4,3,serious
2,6,7,4,6,serious
4,5,5,6,2,lively
6,6,5,3,6,extraverted
4,7,6,2,5,serious
3,5,3,8,5,extraverted
4,4,5,6,4,serious
5,2,7,7,6,serious
6,4,5,2,6,serious
3,2,7,2,3,responsible
6,4,6,6,4,serious
7,5,5,1,5,dependable
5,5,4,2,7,serious
3,5,4,8,7,serious
4,5,5,2,4,responsible
1,4,6,7,5,serious
5,6,5,1,4,serious
3,4,6,4,7,serious
3,3,5,7,5,serious
5,1,1,5,5,serious
6,4,4,1,7,serious
3,6,5,5,6,serious
7,2,5,5,5,serious
3,3,3,5,4,responsible
4,6,5,4,4,extraverted
4,4,5,7,6,serious
5,4,2,5,8,serious
5,5,7,7,4,serious
5,7,7,4,5,extraverted
6,4,7,6,5,serious
7,5,4,6,6,serious
7,6,4,3,5,extraverted
5,6,5,7,3,extraverted
5,3,7,8,6,serious
6,2,7,6,4,lively
2,2,6,4,6,serious
4,3,4,5,6,serious
1,1,6,5,6,serious
6,3,5,6,4,serious
4,4,4,5,6,dependable
6,3,2,4,3,responsible
5,5,5,5,6,responsible
5,3,6,8,6,serious
6,2,5,6,7,serious
3,6,6,4,3,serious
5,4,4,5,5,serious
5,6,6,6,3,extraverted
5,5,8,6,5,serious
4,5,6,5,6,serious
6,5,5,6,3,extraverted
2,7,1,4,8,extraverted
6,6,1,2,2,extraverted
7,4,3,6,1,extraverted
5,5,4,6,4,dependable
4,7,4,6,8,serious
6,2,1,6,6,serious
5,6,2,5,5,extraverted
7,2,7,3,6,dependable
3,4,3,6,5,serious
6,1,1,7,6,serious
4,6,7,7,7,serious
6,1,5,6,4,lively
5,1,1,2,8,serious
5,5,6,6,5,extraverted
6,6,4,7,5,extraverted
